program_id,week_start,iso_week,qty,version,published_at
mass-00037796,2026-03-09,2026-W11,57504,PDP-LEGACY,2026-09-18
mass-00037796,2026-03-16,2026-W12,57440,PDP-LEGACY,2026-09-18
mass-00037796,2026-03-23,2026-W13,57440,PDP-LEGACY,2026-09-18
mass-00037796,2026-03-30,2026-W14,46768,PDP-LEGACY,2026-09-18
mass-00037796,2026-04-06,2026-W15,46768,PDP-LEGACY,2026-09-18
mass-00037796,2026-04-13,2026-W16,56416,PDP-LEGACY,2026-09-18
mass-00037796,2026-04-20,2026-W17,55956,PDP-LEGACY,2026-09-18
mass-00037796,2026-04-27,2026-W18,45520,PDP-LEGACY,2026-09-18
mass-00037796,2026-05-04,2026-W19,45520,PDP-LEGACY,2026-09-18
mass-00037796,2026-05-11,2026-W20,36160,PDP-LEGACY,2026-09-18
mass-00037796,2026-05-18,2026-W21,56320,PDP-LEGACY,2026-09-18
mass-00037796,2026-05-25,2026-W22,43520,PDP-LEGACY,2026-09-18
mass-00037796,2026-06-01,2026-W23,43104,PDP-LEGACY,2026-09-18
mass-00037796,2026-06-08,2026-W24,43072,PDP-LEGACY,2026-09-18
mass-00037796,2026-06-15,2026-W25,43472,PDP-LEGACY,2026-09-18
mass-00037796,2026-06-22,2026-W26,46000,PDP-LEGACY,2026-09-18
mass-00037796,2026-06-29,2026-W27,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-07-06,2026-W28,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-07-13,2026-W29,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-07-20,2026-W30,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-07-27,2026-W31,0,PDP-LEGACY,2026-09-18
mass-00037796,2026-08-03,2026-W32,0,PDP-LEGACY,2026-09-18
mass-00037796,2026-08-10,2026-W33,0,PDP-LEGACY,2026-09-18
mass-00037796,2026-08-17,2026-W34,48000,PDP-LEGACY,2026-09-18
mass-00037796,2026-08-24,2026-W35,41200,PDP-LEGACY,2026-09-18
mass-00037796,2026-08-31,2026-W36,41200,PDP-LEGACY,2026-09-18
mass-00037796,2026-09-07,2026-W37,41200,PDP-LEGACY,2026-09-18
mass-00037796,2026-09-14,2026-W38,41200,PDP-LEGACY,2026-09-18
mass-00037796,2026-09-21,2026-W39,52000,PDP-LEGACY,2026-09-18
mass-00037796,2026-09-28,2026-W40,52000,PDP-LEGACY,2026-09-18
mass-00037796,2026-10-05,2026-W41,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-10-12,2026-W42,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-10-19,2026-W43,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-10-26,2026-W44,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-11-02,2026-W45,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-11-09,2026-W46,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-11-16,2026-W47,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-11-23,2026-W48,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-11-30,2026-W49,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-12-07,2026-W50,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-12-14,2026-W51,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-12-21,2026-W52,56000,PDP-LEGACY,2026-09-18
mass-00037796,2026-12-28,2026-W53,0,PDP-LEGACY,2026-09-18
mass-00037796,2027-01-04,2027-W01,0,PDP-LEGACY,2026-09-18
mass-00037796,2027-01-11,2027-W02,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-01-18,2027-W03,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-01-25,2027-W04,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-02-01,2027-W05,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-02-08,2027-W06,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-02-15,2027-W07,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-02-22,2027-W08,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-03-01,2027-W09,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-03-08,2027-W10,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-03-15,2027-W11,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-03-22,2027-W12,56000,PDP-LEGACY,2026-09-18
mass-00037796,2027-03-29,2027-W13,56000,PDP-LEGACY,2026-09-18
mass-00040633,2026-03-09,2026-W11,2519.748,PDP-LEGACY,2026-09-18
mass-00040633,2026-03-16,2026-W12,4463.748,PDP-LEGACY,2026-09-18
mass-00040633,2026-03-23,2026-W13,4949.748,PDP-LEGACY,2026-09-18
mass-00040633,2026-03-30,2026-W14,4949.748,PDP-LEGACY,2026-09-18
mass-00040633,2026-04-06,2026-W15,2400,PDP-LEGACY,2026-09-18
mass-00040633,2026-04-13,2026-W16,4800,PDP-LEGACY,2026-09-18
mass-00040633,2026-04-20,2026-W17,4800,PDP-LEGACY,2026-09-18
mass-00040633,2026-04-27,2026-W18,4800,PDP-LEGACY,2026-09-18
mass-00040633,2026-05-04,2026-W19,4800,PDP-LEGACY,2026-09-18
mass-00040633,2026-05-11,2026-W20,2304,PDP-LEGACY,2026-09-18
mass-00040633,2026-05-18,2026-W21,3840,PDP-LEGACY,2026-09-18
mass-00040633,2026-05-25,2026-W22,3840,PDP-LEGACY,2026-09-18
mass-00040633,2026-06-01,2026-W23,3840,PDP-LEGACY,2026-09-18
mass-00040633,2026-06-08,2026-W24,4080,PDP-LEGACY,2026-09-18
mass-00040633,2026-06-15,2026-W25,4080,PDP-LEGACY,2026-09-18
mass-00040633,2026-06-22,2026-W26,4080,PDP-LEGACY,2026-09-18
mass-00040633,2026-06-29,2026-W27,4800,PDP-LEGACY,2026-09-18
mass-00040633,2026-07-06,2026-W28,4800,PDP-LEGACY,2026-09-18
mass-00040633,2026-07-13,2026-W29,4800,PDP-LEGACY,2026-09-18
mass-00040633,2026-07-20,2026-W30,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-07-27,2026-W31,0,PDP-LEGACY,2026-09-18
mass-00040633,2026-08-03,2026-W32,0,PDP-LEGACY,2026-09-18
mass-00040633,2026-08-10,2026-W33,0,PDP-LEGACY,2026-09-18
mass-00040633,2026-08-17,2026-W34,5100,PDP-LEGACY,2026-09-18
mass-00040633,2026-08-24,2026-W35,4560,PDP-LEGACY,2026-09-18
mass-00040633,2026-08-31,2026-W36,4560,PDP-LEGACY,2026-09-18
mass-00040633,2026-09-07,2026-W37,4560,PDP-LEGACY,2026-09-18
mass-00040633,2026-09-14,2026-W38,4560,PDP-LEGACY,2026-09-18
mass-00040633,2026-09-21,2026-W39,4560,PDP-LEGACY,2026-09-18
mass-00040633,2026-09-28,2026-W40,4560,PDP-LEGACY,2026-09-18
mass-00040633,2026-10-05,2026-W41,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-10-12,2026-W42,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-10-19,2026-W43,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-10-26,2026-W44,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-11-02,2026-W45,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-11-09,2026-W46,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-11-16,2026-W47,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-11-23,2026-W48,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-11-30,2026-W49,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-12-07,2026-W50,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-12-14,2026-W51,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-12-21,2026-W52,4200,PDP-LEGACY,2026-09-18
mass-00040633,2026-12-28,2026-W53,0,PDP-LEGACY,2026-09-18
