order_id,line_no,article_id,supplier_id,order_type,message_type,order_date,expected_date,qty_ordered,qty_received,status,unit
PO-000001,1,P-00001046,S-000545,FIRM,DELJIT,2026-03-17,2026-04-01,1600,1600,RECEIVED,KG
PO-000002,1,P-00001046,S-000545,FIRM,DELJIT,2026-03-24,2026-04-08,1600,0,CANCELLED,KG
PO-000003,1,P-00001046,S-000545,FIRM,DELJIT,2026-03-31,2026-04-15,1600,1600,RECEIVED,KG
PO-000004,1,P-00001046,S-000545,FIRM,DELJIT,2026-04-07,2026-04-22,1600,0,CANCELLED,KG
PO-000005,1,P-00001046,S-000545,FIRM,DELJIT,2026-04-21,2026-05-06,1600,0,CANCELLED,KG
PO-000006,1,P-00001046,S-000545,FIRM,DELJIT,2026-04-28,2026-05-13,1600,0,CANCELLED,KG
PO-000007,1,P-00001046,S-000545,FIRM,DELJIT,2026-05-05,2026-05-20,1600,0,CANCELLED,KG
PO-000008,1,P-00001046,S-000545,FIRM,DELJIT,2026-05-26,2026-06-10,1600,0,CANCELLED,KG
PO-000009,1,P-00001046,S-000545,FIRM,DELJIT,2026-06-09,2026-06-24,1600,1600,RECEIVED,KG
PO-000010,1,P-00001046,S-000545,FIRM,DELJIT,2026-06-11,2026-06-26,3200,3200,RECEIVED,KG
PO-000011,1,P-00001046,S-000545,FIRM,DELJIT,2026-06-30,2026-07-15,1600,0,CANCELLED,KG
PO-000012,1,P-00001046,S-000545,FIRM,DELJIT,2026-07-07,2026-07-22,1600,1600,RECEIVED,KG
PO-000013,1,P-00001046,S-000545,FIRM,DELJIT,2026-07-14,2026-07-29,1600,0,CANCELLED,KG
PO-000014,1,P-00001046,S-000545,FIRM,DELJIT,2026-08-18,2026-09-02,1600,0,CANCELLED,KG
PO-000015,1,P-00001046,S-000545,FIRM,DELJIT,2026-09-01,2026-09-16,1600,1600,RECEIVED,KG
PO-000016,1,P-00001046,S-000545,FIRM,DELJIT,2026-09-15,2026-09-30,1600,0,OPEN,KG
