receipt_id,order_id,article_id,supplier_id,receipt_date,qty,unit
RC-000001,PO-000001,P-00001046,S-000545,2026-04-01,1600,KG
RC-000002,,P-00001046,S-000545,2026-04-07,1600,KG
RC-000003,PO-000003,P-00001046,S-000545,2026-04-15,1600,KG
RC-000004,,P-00001046,S-000545,2026-04-23,1600,KG
RC-000005,,P-00001046,S-000545,2026-05-07,1600,KG
RC-000006,,P-00001046,S-000545,2026-05-18,1600,KG
RC-000007,,P-00001046,S-000545,2026-05-22,1600,KG
RC-000008,,P-00001046,S-000545,2026-06-11,1600,KG
RC-000009,PO-000009,P-00001046,S-000545,2026-06-24,1600,KG
RC-000010,PO-000010,P-00001046,S-000545,2026-06-26,3200,KG
RC-000011,,P-00001046,S-000545,2026-07-16,1600,KG
RC-000012,PO-000012,P-00001046,S-000545,2026-07-22,1600,KG
RC-000013,,P-00001046,S-000545,2026-07-31,1600,KG
RC-000014,,P-00001046,S-000545,2026-09-08,1600,KG
RC-000015,PO-000015,P-00001046,S-000545,2026-09-16,1600,KG
RC-000016,,P-00003751,S-000599,2026-03-16,2025,PCE
RC-000017,,P-00003751,S-000599,2026-03-20,2160,PCE
RC-000018,,P-00003751,S-000599,2026-03-23,1350,PCE
RC-000019,PO-000038,P-00003751,S-000599,2026-03-26,1350,PCE
RC-000020,,P-00003751,S-000599,2026-03-30,1485,PCE
RC-000021,PO-000039,P-00003751,S-000599,2026-04-02,2025,PCE
RC-000022,,P-00003751,S-000599,2026-04-07,2025,PCE
RC-000023,PO-000040,P-00003751,S-000599,2026-04-09,1215,PCE
RC-000024,,P-00003751,S-000599,2026-04-13,1755,PCE
RC-000025,,P-00003751,S-000599,2026-04-15,810,PCE
RC-000026,,P-00003751,S-000599,2026-04-17,1350,PCE
RC-000027,,P-00003751,S-000599,2026-04-20,2295,PCE
RC-000028,PO-000042,P-00003751,S-000599,2026-04-23,2160,PCE
RC-000029,,P-00003751,S-000599,2026-04-27,3105,PCE
RC-000030,PO-000043,P-00003751,S-000599,2026-04-30,945,PCE
RC-000031,,P-00003751,S-000599,2026-05-04,1890,PCE
RC-000032,,P-00003751,S-000599,2026-05-05,810,PCE
RC-000033,PO-000044,P-00003751,S-000599,2026-05-07,1215,PCE
RC-000034,,P-00003751,S-000599,2026-05-12,1755,PCE
RC-000035,,P-00003751,S-000599,2026-05-18,945,PCE
RC-000036,,P-00003751,S-000599,2026-05-20,1350,PCE
RC-000037,PO-000046,P-00003751,S-000599,2026-05-21,810,PCE
RC-000038,,P-00003751,S-000599,2026-05-27,1890,PCE
RC-000039,,P-00003751,S-000599,2026-05-29,2160,PCE
RC-000040,,P-00003751,S-000599,2026-06-01,1755,PCE
RC-000041,,P-00003751,S-000599,2026-06-03,1080,PCE
RC-000042,,P-00003751,S-000599,2026-06-05,810,PCE
RC-000043,,P-00003751,S-000599,2026-06-09,2160,PCE
RC-000044,PO-000051,P-00003751,S-000599,2026-06-11,810,PCE
RC-000045,,P-00003751,S-000599,2026-06-15,3510,PCE
RC-000046,,P-00003751,S-000599,2026-06-22,4050,PCE
RC-000047,,P-00003751,S-000599,2026-06-24,810,PCE
RC-000048,,P-00003751,S-000599,2026-06-30,3375,PCE
RC-000049,PO-000056,P-00003751,S-000599,2026-07-02,2295,PCE
RC-000050,,P-00003751,S-000599,2026-07-07,2565,PCE
RC-000051,PO-000058,P-00003751,S-000599,2026-07-16,4725,PCE
RC-000052,,P-00003751,S-000599,2026-07-22,5400,PCE
RC-000053,,P-00003751,S-000599,2026-07-29,2430,PCE
RC-000054,PO-000060,P-00003751,S-000599,2026-08-18,1350,PCE
RC-000055,PO-000061,P-00003751,S-000599,2026-08-25,1890,PCE
RC-000056,PO-000062,P-00003751,S-000599,2026-09-01,675,PCE
RC-000057,PO-000063,P-00003751,S-000599,2026-09-08,2970,PCE
RC-000058,,P-00003751,S-000599,2026-09-14,1890,PCE
RC-000059,PO-000103,P-00003759,S-000186,2026-03-17,15215,KG
RC-000060,PO-000104,P-00003759,S-000186,2026-03-19,19507,KG
RC-000061,PO-000105,P-00003759,S-000186,2026-03-26,19508,KG
RC-000062,PO-000106,P-00003759,S-000186,2026-03-31,19294,KG
RC-000063,PO-000107,P-00003759,S-000186,2026-04-02,19614,KG
RC-000064,PO-000108,P-00003759,S-000186,2026-04-07,19486,KG
RC-000065,PO-000109,P-00003759,S-000186,2026-04-14,16709,KG
RC-000066,,P-00003759,S-000186,2026-04-17,19302,KG
RC-000067,PO-000111,P-00003759,S-000186,2026-04-21,16586,KG
RC-000068,PO-000112,P-00003759,S-000186,2026-04-23,19618,KG
RC-000069,PO-000113,P-00003759,S-000186,2026-04-28,19298,KG
RC-000070,PO-000114,P-00003759,S-000186,2026-04-30,19770,KG
RC-000071,PO-000115,P-00003759,S-000186,2026-05-05,16637,KG
RC-000072,PO-000116,P-00003759,S-000186,2026-05-07,19518,KG
RC-000073,PO-000117,P-00003759,S-000186,2026-05-12,19644,KG
RC-000074,PO-000118,P-00003759,S-000186,2026-05-19,16600,KG
RC-000075,PO-000119,P-00003759,S-000186,2026-05-26,19261,KG
RC-000076,,P-00003759,S-000186,2026-05-31,17040,KG
RC-000077,PO-000120,P-00003759,S-000186,2026-06-02,19880,KG
RC-000078,,P-00003759,S-000186,2026-06-08,16659,KG
RC-000079,PO-000121,P-00003759,S-000186,2026-06-09,16658,KG
RC-000080,PO-000122,P-00003759,S-000186,2026-06-16,16626,KG
RC-000081,,P-00003759,S-000186,2026-06-18,19505,KG
RC-000082,PO-000123,P-00003759,S-000186,2026-06-23,19359,KG
RC-000083,PO-000124,P-00003759,S-000186,2026-06-30,16699,KG
RC-000084,PO-000125,P-00003759,S-000186,2026-07-01,19243,KG
RC-000085,PO-000126,P-00003759,S-000186,2026-07-07,17689,KG
RC-000086,PO-000127,P-00003759,S-000186,2026-07-13,19753,KG
