article_id,snapshot_date,qty_on_hand,qty_blocked,unit,location
P-00001046,2026-09-18,4577.28,0,KG,MAIN
P-00003751,2026-09-18,8166,0,PCE,MAIN
P-00003759,2026-09-18,55218.62,0,KG,MAIN
P-00004583,2026-09-18,5426.606,0,KG,MAIN
P-00005010,2026-09-18,164276.216,0,M,MAIN
P-00005129,2026-09-18,170158.8,0,M,MAIN
P-00005775,2026-09-18,80437,0,PCE,MAIN
P-00040241,2026-09-18,8613,0,PCE,MAIN
P-00043859,2026-09-18,8190,0,PCE,MAIN
P-00061611,2026-09-18,9666,0,PCE,MAIN
P-00068225,2026-09-18,7520,0,PCE,MAIN
P-00072208,2026-09-18,10823,0,PCE,MAIN
P-00076292,2026-09-18,8100,0,PCE,MAIN
P-00097112,2026-09-18,14359.908,0,KG,MAIN
P-00162871,2026-09-18,19072,0,PCE,MAIN
P-00197812,2026-09-18,9919,0,PCE,MAIN
