movement_id,article_id,date,movement_type,qty,comment
MV-000001,P-00001046,2026-03-15,INVENTORY_ADJUSTMENT,69,Ajustement hebdomadaire (fichier legacy)
MV-000002,P-00001046,2026-03-22,INVENTORY_ADJUSTMENT,-162.74,Ajustement hebdomadaire (fichier legacy)
MV-000003,P-00001046,2026-04-06,INVENTORY_ADJUSTMENT,-200,Ajustement hebdomadaire (fichier legacy)
MV-000004,P-00001046,2026-04-12,INVENTORY_ADJUSTMENT,146,Ajustement hebdomadaire (fichier legacy)
MV-000005,P-00001046,2026-04-26,INVENTORY_ADJUSTMENT,102,Ajustement hebdomadaire (fichier legacy)
MV-000006,P-00001046,2026-05-10,INVENTORY_ADJUSTMENT,367,Ajustement hebdomadaire (fichier legacy)
MV-000007,P-00001046,2026-05-25,INVENTORY_ADJUSTMENT,-551,Ajustement hebdomadaire (fichier legacy)
MV-000008,P-00001046,2026-06-14,INVENTORY_ADJUSTMENT,-281.655,Ajustement hebdomadaire (fichier legacy)
MV-000009,P-00001046,2026-06-28,INVENTORY_ADJUSTMENT,646,Ajustement hebdomadaire (fichier legacy)
MV-000010,P-00001046,2026-07-12,INVENTORY_ADJUSTMENT,508.33,Ajustement hebdomadaire (fichier legacy)
MV-000011,P-00001046,2026-08-16,INVENTORY_ADJUSTMENT,-985.75,Ajustement hebdomadaire (fichier legacy)
MV-000012,P-00001046,2026-08-30,INVENTORY_ADJUSTMENT,508.25,Ajustement hebdomadaire (fichier legacy)
MV-000013,P-00001046,2026-09-11,INVENTORY_ADJUSTMENT,-1200,Ajustement hebdomadaire (fichier legacy)
MV-000014,P-00001046,2026-09-13,INVENTORY_ADJUSTMENT,1016.045,Ajustement hebdomadaire (fichier legacy)
MV-000015,P-00003751,2026-03-15,INVENTORY_ADJUSTMENT,69,Ajustement hebdomadaire (fichier legacy)
MV-000016,P-00003751,2026-03-22,INVENTORY_ADJUSTMENT,66,Ajustement hebdomadaire (fichier legacy)
MV-000017,P-00003751,2026-04-06,INVENTORY_ADJUSTMENT,233,Ajustement hebdomadaire (fichier legacy)
MV-000018,P-00003751,2026-04-12,INVENTORY_ADJUSTMENT,-86,Ajustement hebdomadaire (fichier legacy)
MV-000019,P-00003751,2026-04-26,INVENTORY_ADJUSTMENT,65,Ajustement hebdomadaire (fichier legacy)
MV-000020,P-00003751,2026-05-10,INVENTORY_ADJUSTMENT,46,Ajustement hebdomadaire (fichier legacy)
MV-000021,P-00003751,2026-05-25,INVENTORY_ADJUSTMENT,448,Ajustement hebdomadaire (fichier legacy)
MV-000022,P-00003751,2026-06-07,INVENTORY_ADJUSTMENT,190,Ajustement hebdomadaire (fichier legacy)
MV-000023,P-00003751,2026-06-14,INVENTORY_ADJUSTMENT,-177,Ajustement hebdomadaire (fichier legacy)
MV-000024,P-00003751,2026-06-21,INVENTORY_ADJUSTMENT,178,Ajustement hebdomadaire (fichier legacy)
MV-000025,P-00003751,2026-06-28,INVENTORY_ADJUSTMENT,225,Ajustement hebdomadaire (fichier legacy)
MV-000026,P-00003751,2026-07-12,INVENTORY_ADJUSTMENT,1672,Ajustement hebdomadaire (fichier legacy)
MV-000027,P-00003751,2026-08-16,INVENTORY_ADJUSTMENT,400,Ajustement hebdomadaire (fichier legacy)
MV-000028,P-00003751,2026-08-30,INVENTORY_ADJUSTMENT,563,Ajustement hebdomadaire (fichier legacy)
MV-000029,P-00003751,2026-09-13,INVENTORY_ADJUSTMENT,2720,Ajustement hebdomadaire (fichier legacy)
MV-000030,P-00003759,2026-03-15,INVENTORY_ADJUSTMENT,-1787,Ajustement hebdomadaire (fichier legacy)
MV-000031,P-00003759,2026-03-22,INVENTORY_ADJUSTMENT,-3724,Ajustement hebdomadaire (fichier legacy)
MV-000032,P-00003759,2026-04-06,INVENTORY_ADJUSTMENT,-1226,Ajustement hebdomadaire (fichier legacy)
MV-000033,P-00003759,2026-04-12,INVENTORY_ADJUSTMENT,-2161.16,Ajustement hebdomadaire (fichier legacy)
MV-000034,P-00003759,2026-04-26,INVENTORY_ADJUSTMENT,-4204,Ajustement hebdomadaire (fichier legacy)
MV-000035,P-00003759,2026-05-10,INVENTORY_ADJUSTMENT,-2648,Ajustement hebdomadaire (fichier legacy)
MV-000036,P-00003759,2026-05-25,INVENTORY_ADJUSTMENT,-5838,Ajustement hebdomadaire (fichier legacy)
MV-000037,P-00003759,2026-05-31,INVENTORY_ADJUSTMENT,-17040,Ajustement hebdomadaire (fichier legacy)
MV-000038,P-00003759,2026-06-08,INVENTORY_ADJUSTMENT,-16659,Ajustement hebdomadaire (fichier legacy)
MV-000039,P-00003759,2026-06-14,INVENTORY_ADJUSTMENT,11559,Ajustement hebdomadaire (fichier legacy)
MV-000040,P-00003759,2026-06-28,INVENTORY_ADJUSTMENT,-1273,Ajustement hebdomadaire (fichier legacy)
MV-000041,P-00003759,2026-07-12,INVENTORY_ADJUSTMENT,831.302,Ajustement hebdomadaire (fichier legacy)
MV-000042,P-00003759,2026-08-16,INVENTORY_ADJUSTMENT,-5316.572,Ajustement hebdomadaire (fichier legacy)
MV-000043,P-00003759,2026-08-30,INVENTORY_ADJUSTMENT,1740.956,Ajustement hebdomadaire (fichier legacy)
MV-000044,P-00003759,2026-09-13,INVENTORY_ADJUSTMENT,-5904.767,Ajustement hebdomadaire (fichier legacy)
MV-000045,P-00004583,2026-03-15,INVENTORY_ADJUSTMENT,-808,Ajustement hebdomadaire (fichier legacy)
MV-000046,P-00004583,2026-03-22,INVENTORY_ADJUSTMENT,297.884,Ajustement hebdomadaire (fichier legacy)
MV-000047,P-00004583,2026-04-06,INVENTORY_ADJUSTMENT,-585,Ajustement hebdomadaire (fichier legacy)
MV-000048,P-00004583,2026-04-26,INVENTORY_ADJUSTMENT,-268,Ajustement hebdomadaire (fichier legacy)
MV-000049,P-00004583,2026-05-10,INVENTORY_ADJUSTMENT,304,Ajustement hebdomadaire (fichier legacy)
MV-000050,P-00004583,2026-05-25,INVENTORY_ADJUSTMENT,-1232,Ajustement hebdomadaire (fichier legacy)
MV-000051,P-00004583,2026-06-14,INVENTORY_ADJUSTMENT,2853,Ajustement hebdomadaire (fichier legacy)
MV-000052,P-00004583,2026-06-28,INVENTORY_ADJUSTMENT,543,Ajustement hebdomadaire (fichier legacy)
MV-000053,P-00004583,2026-07-12,INVENTORY_ADJUSTMENT,427.956,Ajustement hebdomadaire (fichier legacy)
MV-000054,P-00004583,2026-08-16,INVENTORY_ADJUSTMENT,-751.933,Ajustement hebdomadaire (fichier legacy)
MV-000055,P-00004583,2026-08-30,INVENTORY_ADJUSTMENT,-536.987,Ajustement hebdomadaire (fichier legacy)
MV-000056,P-00004583,2026-09-13,INVENTORY_ADJUSTMENT,676.304,Ajustement hebdomadaire (fichier legacy)
MV-000057,P-00005010,2026-03-15,INVENTORY_ADJUSTMENT,3656,Ajustement hebdomadaire (fichier legacy)
MV-000058,P-00005010,2026-03-22,INVENTORY_ADJUSTMENT,-10554,Ajustement hebdomadaire (fichier legacy)
MV-000059,P-00005010,2026-04-06,INVENTORY_ADJUSTMENT,1005,Ajustement hebdomadaire (fichier legacy)
MV-000060,P-00005010,2026-04-12,INVENTORY_ADJUSTMENT,-2942,Ajustement hebdomadaire (fichier legacy)
MV-000061,P-00005010,2026-04-26,INVENTORY_ADJUSTMENT,-11317,Ajustement hebdomadaire (fichier legacy)
MV-000062,P-00005010,2026-05-10,INVENTORY_ADJUSTMENT,-2057,Ajustement hebdomadaire (fichier legacy)
MV-000063,P-00005010,2026-05-25,INVENTORY_ADJUSTMENT,-3962,Ajustement hebdomadaire (fichier legacy)
MV-000064,P-00005010,2026-06-28,INVENTORY_ADJUSTMENT,38166,Ajustement hebdomadaire (fichier legacy)
MV-000065,P-00005010,2026-07-12,INVENTORY_ADJUSTMENT,4823,Ajustement hebdomadaire (fichier legacy)
MV-000066,P-00005010,2026-08-16,INVENTORY_ADJUSTMENT,-194.236,Ajustement hebdomadaire (fichier legacy)
MV-000067,P-00005010,2026-08-30,INVENTORY_ADJUSTMENT,-1852.624,Ajustement hebdomadaire (fichier legacy)
MV-000068,P-00005010,2026-09-13,INVENTORY_ADJUSTMENT,-9304.62,Ajustement hebdomadaire (fichier legacy)
MV-000069,P-00005129,2026-03-15,INVENTORY_ADJUSTMENT,-2073.6,Ajustement hebdomadaire (fichier legacy)
MV-000070,P-00005129,2026-03-22,INVENTORY_ADJUSTMENT,2698.4,Ajustement hebdomadaire (fichier legacy)
MV-000071,P-00005129,2026-04-06,INVENTORY_ADJUSTMENT,-6377,Ajustement hebdomadaire (fichier legacy)
MV-000072,P-00005129,2026-04-12,INVENTORY_ADJUSTMENT,2322.8,Ajustement hebdomadaire (fichier legacy)
MV-000073,P-00005129,2026-04-26,INVENTORY_ADJUSTMENT,-6883,Ajustement hebdomadaire (fichier legacy)
MV-000074,P-00005129,2026-05-10,INVENTORY_ADJUSTMENT,-5203,Ajustement hebdomadaire (fichier legacy)
MV-000075,P-00005129,2026-05-25,INVENTORY_ADJUSTMENT,-5623,Ajustement hebdomadaire (fichier legacy)
MV-000076,P-00005129,2026-06-28,INVENTORY_ADJUSTMENT,-24266,Ajustement hebdomadaire (fichier legacy)
MV-000077,P-00005129,2026-07-12,INVENTORY_ADJUSTMENT,61927,Ajustement hebdomadaire (fichier legacy)
MV-000078,P-00005129,2026-08-16,INVENTORY_ADJUSTMENT,-48424.4,Ajustement hebdomadaire (fichier legacy)
MV-000079,P-00005129,2026-08-30,INVENTORY_ADJUSTMENT,48607.4,Ajustement hebdomadaire (fichier legacy)
MV-000080,P-00005129,2026-09-13,INVENTORY_ADJUSTMENT,2732.2,Ajustement hebdomadaire (fichier legacy)
MV-000081,P-00005775,2026-03-15,INVENTORY_ADJUSTMENT,-483,Ajustement hebdomadaire (fichier legacy)
MV-000082,P-00005775,2026-03-22,INVENTORY_ADJUSTMENT,2356,Ajustement hebdomadaire (fichier legacy)
MV-000083,P-00005775,2026-04-06,INVENTORY_ADJUSTMENT,219,Ajustement hebdomadaire (fichier legacy)
MV-000084,P-00005775,2026-04-12,INVENTORY_ADJUSTMENT,-701,Ajustement hebdomadaire (fichier legacy)
MV-000085,P-00005775,2026-04-26,INVENTORY_ADJUSTMENT,43,Ajustement hebdomadaire (fichier legacy)
MV-000086,P-00005775,2026-05-10,INVENTORY_ADJUSTMENT,17,Ajustement hebdomadaire (fichier legacy)
MV-000087,P-00005775,2026-05-25,INVENTORY_ADJUSTMENT,-122,Ajustement hebdomadaire (fichier legacy)
MV-000088,P-00005775,2026-05-31,INVENTORY_ADJUSTMENT,-16416,Ajustement hebdomadaire (fichier legacy)
MV-000089,P-00005775,2026-06-04,INVENTORY_ADJUSTMENT,-3634,Ajustement hebdomadaire (fichier legacy)
MV-000090,P-00005775,2026-06-08,INVENTORY_ADJUSTMENT,-16416,Ajustement hebdomadaire (fichier legacy)
MV-000091,P-00005775,2026-06-14,INVENTORY_ADJUSTMENT,-15349,Ajustement hebdomadaire (fichier legacy)
MV-000092,P-00005775,2026-06-22,INVENTORY_ADJUSTMENT,-16416,Ajustement hebdomadaire (fichier legacy)
MV-000093,P-00005775,2026-06-28,INVENTORY_ADJUSTMENT,-2918,Ajustement hebdomadaire (fichier legacy)
MV-000094,P-00005775,2026-07-12,INVENTORY_ADJUSTMENT,-812,Ajustement hebdomadaire (fichier legacy)
MV-000095,P-00005775,2026-08-16,INVENTORY_ADJUSTMENT,928,Ajustement hebdomadaire (fichier legacy)
MV-000096,P-00005775,2026-08-30,INVENTORY_ADJUSTMENT,-584,Ajustement hebdomadaire (fichier legacy)
