article_id,supplier_id,moq,pack_qty,lead_time_days,quota_pct,priority,active
P-00001046,S-000545,400,400,15,100,1,true
P-00003751,S-000599,135,135,10,100,1,true
P-00003759,S-000186,710,710,15,100,1,true
P-00004583,S-000186,710,710,15,100,1,true
P-00005010,S-000286,72000,72000,15,100,1,true
P-00005129,S-000106,48675,48675,20,100,1,true
P-00005775,S-000032,432,432,5,100,1,true
P-00005775,S-001033,432,432,10,0,2,true
P-00040241,S-000517,135,135,10,100,1,true
P-00043859,S-000032,36,36,5,100,1,true
P-00043859,S-001033,36,36,10,0,2,true
P-00061611,S-000378,480,480,10,100,1,true
P-00068225,S-000378,114,114,10,100,1,true
P-00072208,S-000517,900,900,10,100,1,true
P-00076292,S-000032,24,24,5,100,1,true
P-00097112,S-000904,573,573,20,100,1,true
P-00162871,S-000378,480,480,10,50,1,true
P-00162871,S-001562,480,480,15,50,1,true
P-00197812,S-000378,95,95,10,50,1,true
P-00197812,S-001562,95,95,15,50,1,true
