article_id,designation,unit,family,planner,coverage_target_days,alert_red_days,alert_yellow_days,overstock_days,safety_stock_qty,service_rate_tracked,dhrq,active
P-00001046,RESIN,KG,,QUENTIN,10,3,10,30,0,true,,true
P-00003751,PHASE CONNECTOR,PCE,,QUENTIN,12,3,12,36,0,false,,true
P-00003759,COPPER REEL,KG,,QUENTIN,7,3,7,30,0,true,,true
P-00004583,STATOR COPPER,KG,,QUENTIN,7,3,7,30,0,true,,true
P-00005010,PAPER ROLL,M,,QUENTIN,7,3,7,30,0,true,,true
P-00005129,INSULATION PAPER,M,,QUENTIN,14,3,14,42,0,true,,true
P-00005775,ROTOR STACK,PCE,,QUENTIN,7,3,7,30,0,true,,true
P-00040241,PHASE CONNECTOR,PCE,,QUENTIN,12,3,12,36,0,true,,true
P-00043859,M3 STATOR STACK WITH INTERLOCKS HARD TOOL,PCE,,QUENTIN,7,3,7,30,0,true,,true
P-00061611,ROTOR STACK M2-D - 0.35_HARDTOOL,PCE,,QUENTIN,10,3,10,30,0,true,,true
P-00068225,STATOR STACK HARD TOOL,PCE,,QUENTIN,21,3,21,63,0,true,,true
P-00072208,PHASE CONNECTOR,PCE,,QUENTIN,12,3,12,36,0,true,,true
P-00076292,M4 STATOR STACK WITH ARCELOR AND INTERLOCK,PCE,,QUENTIN,7,3,7,30,0,true,,true
P-00097112,"COPPER WIRE 2,65*1.25",KG,,QUENTIN,10,3,10,30,0,true,,true
P-00162871,ROTOR STACK,PCE,,QUENTIN,10,3,10,30,0,true,,true
P-00197812,STATOR STACK M2,PCE,,QUENTIN,10,3,10,30,0,true,,true
