program_id,article_id,qty_per,unit,scrap_pct,valid_from,valid_to
mass-00037796,P-00005775,1,PCE,0,,
mass-00040922,P-00076292,1,PCE,0,,
mass-00040633,P-00043859,1,PCE,0,,
mass-00038804,P-00005129,4.8,M,0,,
mass-00042751,P-00005129,4.8,M,0,,
mass-00044322,P-00005129,6,M,0,,
mass-00038804,P-00004583,1.521,KG,0,,
mass-00042751,P-00004583,1.521,KG,0,,
mass-00038804,P-00001046,0.05,KG,0,,
mass-00040633,P-00001046,0.11,KG,0,,
mass-00040922,P-00001046,0.225,KG,0,,
mass-00040633,P-00003759,3.9,KG,0,,
mass-00040922,P-00003759,4.863,KG,0,,
mass-00040633,P-00003751,1,PCE,0,,
mass-00040633,P-00005010,7.308,M,0,,
mass-00040922,P-00005010,11,M,0,,
mass-00040922,P-00040241,1,PCE,0,,
mass-00042751,P-00072208,1,PCE,0,,
mass-00044322,P-00072208,1,PCE,0,,
mass-00043530,P-00162871,1,PCE,0,,
mass-00044253,P-00061611,1,PCE,0,,
mass-00044322,P-00197812,1,PCE,0,,
mass-00044322,P-00097112,1.548,KG,0,,
mass-00044322,P-00001046,0.06,KG,0,,
mass-00042751,P-00001046,0.05,KG,0,,
mass-00007041,P-00061611,1,PCE,0,,
mass-00038804,P-00068225,1,PCE,0,,
mass-00042751,P-00068225,1,PCE,0,,
