supplier_id,name,country,contact,delivery_weekdays,calendar_id,active
S-000545,ELANTAS EUROPE S.R.L.,IT,,"1,2,3,4,5",DEFAULT,true
S-000599,ENNOVI Czech Republic,CZ,,"1,2,3,4,5",DEFAULT,true
S-000186,SCHWERING HASSE ELEKTRODRAHT GMBH,DE,,"1,2,3,4,5",DEFAULT,true
S-000286,COVEME SPA,IT,,"1,2,3,4,5",DEFAULT,true
S-000106,ISOVOLTA,AT,,"1,2,3,4,5",DEFAULT,true
S-000032,R.BOURGEOIS S.A.,FR,,"1,2,3,4,5",DEFAULT,true
S-001033,ERNESTO MALVESTITI,IT,,"1,2,3,4,5",DEFAULT,true
S-000517,ENNOVI HUNGARY,HU,,"1,2,3,4,5",DEFAULT,true
S-000378,EUROTRANCIATURA,IT,,"1,2,3,4,5",DEFAULT,true
S-000904,ESSEX Furukawa Magnet Wire,FR,,"1,2,3,4,5",DEFAULT,true
S-001562,EUROMISI,IT,,"1,2,3,4,5",DEFAULT,true
